id,state,name
1,Andaman and Nicobar Islands,Port Blair
2,Andhra Pradesh,Adoni
3,Andhra Pradesh,Amalapuram
4,Andhra Pradesh,Anakapalle
5,Andhra Pradesh,Anantapur
6,Andhra Pradesh,Bapatla
7,Andhra Pradesh,Bheemunipatnam
8,Andhra Pradesh,Bhimavaram
9,Andhra Pradesh,Bobbili
10,Andhra Pradesh,Chilakaluripet
11,Andhra Pradesh,Chirala
12,Andhra Pradesh,Chittoor
13,Andhra Pradesh,Dharmavaram
14,Andhra Pradesh,Eluru
15,Andhra Pradesh,Gooty
16,Andhra Pradesh,Gudivada
17,Andhra Pradesh,Gudur
18,Andhra Pradesh,Guntakal
19,Andhra Pradesh,Guntur
20,Andhra Pradesh,Hindupur
21,Andhra Pradesh,Jaggaiahpet
22,Andhra Pradesh,Jammalamadugu
23,Andhra Pradesh,Kadapa
24,Andhra Pradesh,Kadiri
25,Andhra Pradesh,Kakinada
26,Andhra Pradesh,Kandukur
27,Andhra Pradesh,Kavali
28,Andhra Pradesh,Kovvur
29,Andhra Pradesh,Kurnool
30,Andhra Pradesh,Macherla
31,Andhra Pradesh,Machilipatnam
32,Andhra Pradesh,Madanapalle
33,Andhra Pradesh,Mandapeta
34,Andhra Pradesh,Markapur
35,Andhra Pradesh,Nagari
36,Andhra Pradesh,Naharlagun
37,Andhra Pradesh,Naidupet
38,Andhra Pradesh,Nandyal
39,Andhra Pradesh,Narasapuram
40,Andhra Pradesh,Narasaraopet
41,Andhra Pradesh,Narsipatnam
42,Andhra Pradesh,Nellore
43,Andhra Pradesh,Nidadavole
44,Andhra Pradesh,Nuzvid
45,Andhra Pradesh,Ongole
46,Andhra Pradesh,Palacole
47,Andhra Pradesh,Palasa Kasibugga
48,Andhra Pradesh,Parvathipuram
49,Andhra Pradesh,Pasighat
50,Andhra Pradesh,Pedana
51,Andhra Pradesh,Peddapuram
52,Andhra Pradesh,Pithapuram
53,Andhra Pradesh,Ponnur
54,Andhra Pradesh,Proddatur
55,Andhra Pradesh,Punganur
56,Andhra Pradesh,Puttur
57,Andhra Pradesh,Rajahmundry
58,Andhra Pradesh,Rajam
59,Andhra Pradesh,Rajampet
60,Andhra Pradesh,Ramachandrapuram
61,Andhra Pradesh,Rayachoti
62,Andhra Pradesh,Rayadurg
63,Andhra Pradesh,Renigunta
64,Andhra Pradesh,Repalle
65,Andhra Pradesh,Salur
66,Andhra Pradesh,Samalkot
67,Andhra Pradesh,Sattenapalle
68,Andhra Pradesh,Srikakulam
69,Andhra Pradesh,Srikalahasti
70,Andhra Pradesh,Srisailam Project (Right Flank Colony) Township
71,Andhra Pradesh,Sullurpeta
72,Andhra Pradesh,Tadepalligudem
73,Andhra Pradesh,Tadpatri
74,Andhra Pradesh,Tanuku
75,Andhra Pradesh,Tenali
76,Andhra Pradesh,Tirupati
77,Andhra Pradesh,Tiruvuru
78,Andhra Pradesh,Tuni
79,Andhra Pradesh,Uravakonda
80,Andhra Pradesh,Venkatagiri
81,Andhra Pradesh,Vijayawada
82,Andhra Pradesh,Vinukonda
83,Andhra Pradesh,Visakhapatnam
84,Andhra Pradesh,Vizianagaram
85,Arunachal Pradesh,Yemmiganur
86,Arunachal Pradesh,Yerraguntla
87,Assam,Barpeta
88,Assam,Bongaigaon City
89,Assam,Dhubri
90,Assam,Dibrugarh
91,Assam,Diphu
92,Assam,Goalpara
93,Assam,Guwahati
94,Assam,Jorhat
95,Assam,Karimganj
96,Assam,Lanka
97,Assam,Lumding
98,Assam,Mangaldoi
99,Assam,Mankachar
100,Assam,Margherita
101,Assam,Mariani
102,Assam,Marigaon
103,Assam,Nagaon
104,Assam,Nalbari
105,Assam,North Lakhimpur
106,Assam,Rangia
107,Assam,Sibsagar
108,Assam,Silapathar
109,Assam,Silchar
110,Assam,Tezpur
111,Assam,Tinsukia
112,Bihar,Araria
113,Bihar,Arrah
114,Bihar,Arwal
115,Bihar,Asarganj
116,Bihar,Aurangabad
117,Bihar,Bagaha
118,Bihar,Barh
119,Bihar,Begusarai
120,Bihar,Bettiah
121,Bihar,BhabUrban Agglomeration
122,Bihar,Bhagalpur
123,Bihar,Buxar
124,Bihar,Chhapra
125,Bihar,Darbhanga
126,Bihar,Dehri-on-Sone
127,Bihar,Dumraon
128,Bihar,Forbesganj
129,Bihar,Gaya
130,Bihar,Gopalganj
131,Bihar,Hajipur
132,Bihar,Jamalpur
133,Bihar,Jamui
134,Bihar,Jehanabad
135,Bihar,Katihar
136,Bihar,Kishanganj
137,Bihar,Lakhisarai
138,Bihar,Lalganj
139,Bihar,Madhepura
140,Bihar,Madhubani
141,Bihar,Maharajganj
142,Bihar,Mahnar Bazar
143,Bihar,Makhdumpur
144,Bihar,Maner
145,Bihar,Manihari
146,Bihar,Marhaura
147,Bihar,Masaurhi
148,Bihar,Mirganj
149,Bihar,Mokameh
150,Bihar,Motihari
151,Bihar,Motipur
152,Bihar,Munger
153,Bihar,Murliganj
154,Bihar,Muzaffarpur
155,Bihar,Narkatiaganj
156,Bihar,Naugachhia
157,Bihar,Nawada
158,Bihar,Nokha
159,Bihar,Patna
160,Bihar,Piro
161,Bihar,Purnia
162,Bihar,Rafiganj
163,Bihar,Rajgir
164,Bihar,Ramnagar
165,Bihar,Raxaul Bazar
166,Bihar,Revelganj
167,Bihar,Rosera
168,Bihar,Saharsa
169,Bihar,Samastipur
170,Bihar,Sasaram
171,Bihar,Sheikhpura
172,Bihar,Sheohar
173,Bihar,Sherghati
174,Bihar,Silao
175,Bihar,Sitamarhi
176,Bihar,Siwan
177,Bihar,Sonepur
178,Bihar,Sugauli
179,Bihar,Sultanganj
180,Bihar,Supaul
181,Bihar,Warisaliganj
182,Chandigarh,Ambikapur
183,Chhattisgarh,Bhatapara
184,Chhattisgarh,Bhilai Nagar
185,Chhattisgarh,Bilaspur
186,Chhattisgarh,Chandigarh
187,Chhattisgarh,Chirmiri
188,Chhattisgarh,Dalli-Rajhara
189,Chhattisgarh,Dhamtari
190,Chhattisgarh,Durg
191,Chhattisgarh,Jagdalpur
192,Chhattisgarh,Korba
193,Chhattisgarh,Mahasamund
194,Chhattisgarh,Manendragarh
195,Chhattisgarh,Mungeli
196,Chhattisgarh,Naila Janjgir
197,Chhattisgarh,Raigarh
198,Chhattisgarh,Raipur
199,Chhattisgarh,Rajnandgaon
200,Chhattisgarh,Sakti
201,Chhattisgarh,Tilda Newra
202,Dadra and Nagar Haveli,Silvassa
203,Delhi,Delhi
204,Delhi,New Delhi
205,Goa,Mapusa
206,Goa,Margao
207,Goa,Marmagao
208,Goa,Panaji
209,Gujarat,Adalaj
210,Gujarat,Ahmedabad
211,Gujarat,Amreli
212,Gujarat,Anand
213,Gujarat,Anjar
214,Gujarat,Ankleshwar
215,Gujarat,Bharuch
216,Gujarat,Bhavnagar
217,Gujarat,Bhuj
218,Gujarat,Chhapra
219,Gujarat,Deesa
220,Gujarat,Dhoraji
221,Gujarat,Godhra
222,Gujarat,Jamnagar
223,Gujarat,Kadi
224,Gujarat,Kapadvanj
225,Gujarat,Keshod
226,Gujarat,Khambhat
227,Gujarat,Lathi
228,Gujarat,Limbdi
229,Gujarat,Lunawada
230,Gujarat,Mahemdabad
231,Gujarat,Mahesana
232,Gujarat,Mahuva
233,Gujarat,Manavadar
234,Gujarat,Mandvi
235,Gujarat,Mangrol
236,Gujarat,Mansa
237,Gujarat,Modasa
238,Gujarat,Morvi
239,Gujarat,Nadiad
240,Gujarat,Navsari
241,Gujarat,Padra
242,Gujarat,Palanpur
243,Gujarat,Palitana
244,Gujarat,Pardi
245,Gujarat,Patan
246,Gujarat,Petlad
247,Gujarat,Porbandar
248,Gujarat,Radhanpur
249,Gujarat,Rajkot
250,Gujarat,Rajpipla
251,Gujarat,Rajula
252,Gujarat,Ranavav
253,Gujarat,Rapar
254,Gujarat,Salaya
255,Gujarat,Sanand
256,Gujarat,Savarkundla
257,Gujarat,Sidhpur
258,Gujarat,Sihor
259,Gujarat,Songadh
260,Gujarat,Surat
261,Gujarat,Talaja
262,Gujarat,Thangadh
263,Gujarat,Tharad
264,Gujarat,Umbergaon
265,Gujarat,Umreth
266,Gujarat,Una
267,Gujarat,Unjha
268,Gujarat,Upleta
269,Gujarat,Vadnagar
270,Gujarat,Vadodara
271,Gujarat,Valsad
272,Gujarat,Vapi
273,Gujarat,Vapi
274,Gujarat,Veraval
275,Gujarat,Vijapur
276,Gujarat,Viramgam
277,Gujarat,Visnagar
278,Gujarat,Vyara
279,Gujarat,Wadhwan
280,Gujarat,Wankaner
281,Haryana,Bahadurgarh
282,Haryana,Bhiwani
283,Haryana,Charkhi Dadri
284,Haryana,Faridabad
285,Haryana,Fatehabad
286,Haryana,Gohana
287,Haryana,Gurgaon
288,Haryana,Hansi
289,Haryana,Hisar
290,Haryana,Jind
291,Haryana,Kaithal
292,Haryana,Karnal
293,Haryana,Ladwa
294,Haryana,Mahendragarh
295,Haryana,Mandi Dabwali
296,Haryana,Narnaul
297,Haryana,Narwana
298,Haryana,Palwal
299,Haryana,Panchkula
300,Haryana,Panipat
301,Haryana,Pehowa
302,Haryana,Pinjore
303,Haryana,Rania
304,Haryana,Ratia
305,Haryana,Rewari
306,Haryana,Rohtak
307,Haryana,Safidon
308,Haryana,Samalkha
309,Haryana,Sarsod
310,Haryana,Shahbad
311,Haryana,Sirsa
312,Haryana,Sohna
313,Haryana,Sonipat
314,Haryana,Taraori
315,Haryana,Thanesar
316,Haryana,Tohana
317,Haryana,Yamunanagar
318,Himachal Pradesh,Mandi
319,Himachal Pradesh,Nahan
320,Himachal Pradesh,Palampur
321,Himachal Pradesh,Shimla
322,Himachal Pradesh,Solan
323,Himachal Pradesh,Sundarnagar
324,Jammu and Kashmir,Anantnag
325,Jammu and Kashmir,Baramula
326,Jammu and Kashmir,Jammu
327,Jammu and Kashmir,KathUrban Agglomeration
328,Jammu and Kashmir,Punch
329,Jammu and Kashmir,Rajauri
